action	(modifier) changes preceding word to an uncountable noun; for all terms, but usually for those with more than one syllable	: cheese ~; one-shot Johnson ~; d-boost ~ (p rD_lxY6w3Go 8:49); double d-boost ~ (p rD_lxY6w3Go 10:41); hold-right ~; a little 10-Coin ~ here; B-flat ~ (p zXK59lpqeRs 1:00); top ~ (p jUPAlhDr4jY 6:43); dev block ~ (p jUPAlhDr4jY 19:51); a lil Star ~ (p 2_kagAau30g 0:10); a lil power-up ~ (r XTNATMnFbLI 3:11); a lil 1-Up ~ there (p U0fbf4ItXg4 13:46); a lil double jump ~ (p aykk1MWxpmo 13:36); we got some clear pipe ~ (p aykk1MWxpmo 14:57); a lil yoink ~ (r IisH5nDAZts 12:52); a lil PB ~ (r bpeM_cqa1_4 11:08); a little speedrun ~ (r KvI6_nBsR3E 6:00)	> -age; -skies												
aesthetics	decoration	: what is this? I think it’s just ~ (p rD_lxY6w3Go 0:52)													
-age	(modifier) changes word to an uncountable noun; for terms with one syllable that either do not end in a plosive, or that end in a velar plosive, like ‘k’ or ‘g’	: life-farmage (p 88YCdFznRk0 20:25); optimal twirlage (r 6wYESz2lxSw 6:40)	> action; -skies; coinage; schmoveage; nannage; fannage; gameage												
airball	something that misses its target, usually a thrown object or a jump	: I ~ed that (p Ih5dQAGvRdc 4:40); that was an ~ (p 2_kagAau30g 4:40); I am an ~er, dude (p 8RYG0HDB1ek 13:00); an ~, that’s what that was (p -AI9_ckc6TY 8:18)	> snipe												
Alabama beach mouse	a (Spiny) Skipsqueak	: don’t worry, we’ll save the ~, our boi (p oAaggDX0cPA 19:55)	> our boi												
Amazon Delivery Services	said when carrying a Crate	> box													
axe	the goal at the end of a castle level	> orb													
backthrow Andy	(rays mp) someone who picks up another player and throws them backwards to give them a disadvantage	: we got a ~ (r i6f4xewhmKY 0:00); I got to be a ~ (r IisH5nDAZts 9:02)	> toxic												
baited	> jebaited	: I got so ~ (p AD7Fx9TCPYM10:14)													
banger	Superball Flower	: ~ alert (p U0fbf4ItXg4 1:36)	; a music level	: wait, is this a ~? ~ level incoming? (r D8bJcRWgv3o 2:25)	; SMB2 Mushroom	: we got the ~ going (r G36FVZjrhGE 23:00)	; something bouncing on a music block	: ~? (r 37rEiTIav0o 12:24) (r WLZWPJQ9IuI 4:18)							
Banzai William	Banzai Bill	> Bullet William													
Bee Movie	Stingby	: the ~s! (p JVLAFSrpZQE 18:46)	> beeBobble												
beeBobble	Stingby	: ~? (p GB1KgH0iZGY 6:33); a lil ~ action? (p kY3N3FwDE1M 5:10)	> Bee Movie	; said when something is shaking rapidly	: this guy’s ~ing (p kY3N3FwDE1M 19:40); that Wiggler be bobblin’ though (p DG7FT1VRLp8 17:12)										
Bennett Foddy	a level where mistakes will result in a (major) loss of progress; usually a vertical level	: ~s; ~ level; we’re playing ~s; a little bit of some ~s action (p oand8mvTPPo 11:32)													
best level	an uninteresting level; usually either a trivial short level or a tedious long level	: ~ I’ve ever played; ~ of my life													
Big Bang Theory	(rays) being laughed at by the laughter sound effect; referencing canned laughter in tv shows	: he got ~d (r 992X8FP_1ac 7:00); I got ~d (r kgfuuFkYVRw 12:27)													
big boot guy	Goomba Shoe	: ~! (r TgvkyP6P0w4 10:51) (r IisH5nDAZts 12:17); I’m a ~ (r GXxl1J5d_VM 10:19); wait a minute, boot level? ~! (r D8bJcRWgv3o 3:06)	> boot												
big-boi	very big	: we hit ’em with the ~ jukes (p WS_167XY-u0 16:04)													
bingo	a game where there’s a 5×5 grid of tasks and the goal is to accomplish the majority, or get three lines of accomplished tasks, before the other player does	; said when accomplishing a task from a bingo game, outside of bingo	: yo, ~? (p i6f4xewhmKY 1:31)												
bitrate	said when many elements are moving on screen, such as intense visual effects, causing a drop in video quality due to a limited bitrate	: it was a ~ killer, probably (p rD_lxY6w3Go 23:31); yo, ~ killer, anybody? (p -AI9_ckc6TY 17:10)	> refreshing level												
